1486310450|58|834|690|1582
11816116|82|57|78|217
2205861117|12|56|74|142
2131802692|27|32|23|82
1973523170|14|52|12|78
10374749045|2|39|21|62
1435059064|8|41|11|60
4202099190|8|38|13|59
5853911598|9|46|4|59
4033543335|6|29|13|48
1700142894|12|17|16|45
34160192|1|37|4|42
1453805614|10|28|2|40
264699925|9|18|6|33
8233617927|2|27|3|32
6704386460|10|10|7|27
10851097964|1|0|24|25
10709551573|2|0|22|24
2291459143|0|4|19|23
506236177|2|13|8|23
3927511729|5|12|6|23
4317268541|3|16|2|21
5345861864|2|3|15|20
4796357806|3|17|0|20
3108933897|3|1|15|19
10644922940|5|1|13|19
1452762375|3|9|6|18
1994755924|0|13|5|18
4913221953|0|14|3|17
6939282801|3|10|4|17
5873032255|0|3|13|16
6234380870|6|1|9|16
1649448904|0|11|3|14
4069485884|0|14|0|14
8333046318|0|0|14|14
5279498835|1|0|13|14
6275453309|5|5|4|14
2880171102|0|10|4|14
2272159145|0|11|2|13
9194153826|0|0|13|13
8299425644|6|1|6|13
11390343813|2|0|11|13
13939818784|6|7|0|13
1684742715|1|8|4|13
5793296880|1|10|1|12
5925311718|0|11|1|12
9769484017|3|6|2|11
3133541002|1|10|0|11
242421877|0|0|11|11
1519514887|0|1|10|11
1392003679|5|1|5|11
302787533|0|9|2|11
5315977736|0|3|8|11
3864598042|0|0|10|10
4263808948|1|7|2|10
5530486571|0|6|4|10
4740088367|1|8|1|10
2096643916|1|0|9|10
10918185717|2|3|5|10
11153702987|0|0|10|10
2949813567|1|6|2|9
5856258051|0|8|1|9
7068819494|0|0|9|9
2289707047|2|3|4|9
5425825524|0|0|9|9
5444776773|1|8|0|9
10612589619|0|0|9|9
4785797825|3|4|2|9
1795503629|0|5|4|9
3241011153|0|0|9|9
4548312050|0|6|3|9
3654710775|3|1|4|8
3559377116|8|0|0|8
4515222248|0|2|6|8
9360527455|1|1|6|8
1956959143|1|3|4|8
4314671527|2|2|4|8
3040532542|0|4|4|8
2141865396|0|1|7|8
3474437660|0|4|4|8
2346274589|3|4|1|8
12173883444|1|1|6|8
12874920424|1|1|6|8
8489448166|1|2|5|8
6243143655|0|1|6|7
2953538901|0|3|4|7
2244601004|1|1|5|7
1923356197|1|3|3|7
4523126163|2|2|3|7
6018680531|0|2|5|7
2020300484|0|2|5|7
8038842794|2|3|2|7
1836188004|1|2|4|7
4857774026|0|5|2|7
7949623811|0|4|3|7
1742710136|0|1|6|7
5781271335|0|7|0|7
11354343795|1|2|4|7
3427919166|1|1|5|7
